# x_m, y_m, w_tr_right_m, w_tr_left_m
24.59458750756823, -15.43951883496078, 1.1, 1.1
24.939764674082546, -15.73613563998538, 1.1, 1.1
25.285953180958767, -16.031206481799217, 1.1, 1.1
25.63309175415445, -16.32495169202596, 1.1, 1.1
25.98111902858099, -16.617591784381542, 1.1, 1.1
26.3299738212421, -16.909347181535768, 1.1, 1.1
26.679594402864666, -17.200438488250697, 1.1, 1.1
27.029817163561216, -17.49114066382529, 1.1, 1.1
27.38022620463051, -17.781862596409116, 1.1, 1.1
27.730367661136995, -18.073033750576094, 1.1, 1.1
28.079787303960625, -18.36508331776177, 1.1, 1.1
28.428031177119713, -18.658440671493942, 1.1, 1.1
28.77464523358645, -18.953535276346525, 1.1, 1.1
29.119175517379176, -19.250796232708947, 1.1, 1.1
29.46116798147008, -19.550653005155127, 1.1, 1.1
29.800168487785232, -19.853534876166734, 1.1, 1.1
30.13572317138909, -20.15987121927157, 1.1, 1.1
30.46737789420769, -20.470091316951297, 1.1, 1.1
30.794678609213275, -20.784624451687595, 1.1, 1.1
31.117171360424145, -21.103900088054377, 1.1, 1.1
31.434402100812484, -21.428347417487196, 1.1, 1.1
31.74600701006088, -21.758323067659585, 1.1, 1.1
32.05238350450704, -22.093569833267033, 1.1, 1.1
32.35431130316969, -22.433522226824152, 1.1, 1.1
32.65257267435895, -22.777612575738523, 1.1, 1.1
32.94795015952342, -23.12527320741774, 1.1, 1.1
33.241226300111656, -23.47593654031552, 1.1, 1.1
33.53318336443384, -23.829034719747188, 1.1, 1.1
33.82496343508808, -24.18349868210729, 1.1, 1.1
34.12414109448425, -24.52928986369189, 1.1, 1.1
34.443842098349315, -24.848628777115888, 1.1, 1.1
34.79737447675343, -25.123481825257965, 1.1, 1.1
35.19304090797202, -25.334579641935573, 1.1, 1.1
35.61622220668175, -25.456993342759763, 1.1, 1.1
36.04574186350951, -25.464174879045917, 1.1, 1.1
36.46026176220943, -25.33019076345648, 1.1, 1.1
36.831201522483774, -25.05671633574652, 1.1, 1.1
37.11996751115376, -24.68360093725754, 1.1, 1.1
37.28723217222307, -24.253492029905626, 1.1, 1.1
37.299039671099095, -23.808584212178694, 1.1, 1.1
37.16293864204595, -23.387573726238937, 1.1, 1.1
36.90990006347829, -23.020529010259054, 1.1, 1.1
36.60083069777859, -22.686353220225705, 1.1, 1.1
36.28860011955586, -22.353841298135627, 1.1, 1.1
35.97885446323604, -22.01971758648606, 1.1, 1.1
35.670892127376135, -21.684470001463477, 1.1, 1.1
35.36401114634864, -21.34858636820825, 1.1, 1.1
35.057510009756676, -21.012554693952975, 1.1, 1.1
34.75068693406498, -20.67686271279189, 1.1, 1.1
34.4428400446922, -20.341998340911488, 1.1, 1.1
34.13326564613442, -20.008515867123723, 1.1, 1.1
33.82125130245973, -19.67723516178861, 1.1, 1.1
33.506082483675286, -19.349042832076137, 1.1, 1.1
33.18704447769602, -19.02482539411017, 1.1, 1.1
32.86342302766748, -18.705469272968454, 1.1, 1.1
32.53450333045849, -18.391861166867105, 1.1, 1.1
32.199570947122346, -18.084887409837737, 1.1, 1.1
31.85810472963676, -17.785205172814116, 1.1, 1.1
31.511025427468788, -17.491761052124357, 1.1, 1.1
31.15990440569818, -17.2027293908602, 1.1, 1.1
